vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,pickup_location_id,dropoff_location_id,payment_type,fare_amount,tip_amount,total_amount
2,2023-01-22 17:51:00,2023-01-22 17:56:43.612665870,1.0,1.35,13,104,1,9.92,0.46,10.38
1,2023-01-04 20:38:00,2023-01-04 20:55:18.538740492,,3.91,190,96,1,19.35,2.21,21.56
2,2023-01-07 07:14:00,2023-01-07 07:31:00.212568990,4.0,4.65,65,172,2,20.19,0.0,20.19
1,2023-01-31 11:17:00,2023-01-31 11:25:43.292862534,1.0,3.35,260,71,1,14.77,2.09,16.86
2,2023-01-28 18:37:00,2023-01-28 18:44:55.371716544,1.0,1.94,23,123,1,13.14,2.25,15.39
1,2023-01-16 17:39:00,2023-01-16 17:55:47.006489172,2.0,3.79,48,15,2,19.56,0.0,19.56
2,2023-01-19 14:46:00,2023-01-19 14:53:42.773738340,2.0,1.91,13,75,2,11.59,0.0,11.59
1,2023-01-25 19:24:00,2023-01-25 19:34:53.318415666,5.0,3.72,89,178,3,19.08,0.0,19.08
1,2023-01-20 18:47:00,2023-01-20 19:13:11.725042770,1.0,6.26,76,53,1,27.76,4.25,32.01
1,2023-01-06 18:23:00,2023-01-06 18:35:29.184631050,1.0,3.1,197,61,2,16.67,0.0,16.67
1,2023-01-30 17:10:00,2023-01-30 17:15:53.028607524,1.0,1.46,189,165,1,9.23,0.84,10.07
1,2023-01-05 21:39:00,2023-01-05 21:51:58.004888226,2.0,3.39,147,236,1,17.75,0.93,18.68
2,2023-01-16 08:26:00,2023-01-16 08:48:37.151285124,2.0,5.87,246,101,1,25.56,4.23,29.79
2,2023-01-06 19:12:00,2023-01-06 19:20:51.986301048,1.0,2.05,92,76,1,10.95,1.78,12.73
2,2023-01-22 20:57:00,2023-01-22 21:00:11.981960478,1.0,0.92,51,192,2,8.2,0.0,8.2
1,2023-01-04 15:32:00,2023-01-04 15:40:22.532528460,3.0,2.49,134,106,2,12.78,0.0,12.78
2,2023-01-28 11:39:00,2023-01-28 11:56:07.411284618,1.0,4.37,60,152,1,21.67,1.57,23.24
2,2023-01-05 19:00:00,2023-01-05 19:18:43.276001412,1.0,5.48,219,201,2,25.68,0.0,25.68
1,2023-01-17 17:59:00,2023-01-17 18:07:12.367974618,1.0,2.32,20,207,2,12.18,0.0,12.18
2,2023-01-08 08:09:00,2023-01-08 08:17:55.282698894,4.0,2.88,210,34,1,16.18,2.31,18.49
1,2023-01-21 09:05:00,2023-01-21 09:07:05.111818032,2.0,0.64,248,34,1,5.28,1.04,6.32
1,2023-01-06 20:54:00,2023-01-06 21:01:55.068629100,4.0,1.93,16,47,1,12.15,2.1,14.25
1,2023-01-19 13:26:00,2023-01-19 13:36:07.478960466,1.0,3.29,207,233,4,17.37,0.0,17.37
1,2023-01-02 16:27:00,2023-01-02 16:36:19.662914964,1.0,2.76,247,2,1,11.2,0.57,11.77
1,2023-01-06 08:52:00,2023-01-06 08:58:11.949477708,1.0,2.26,195,57,1,8.73,1.21,9.94
1,2023-01-30 18:20:00,2023-01-30 18:45:37.403797152,1.0,6.4,101,46,1,29.25,2.83,32.08
1,2023-01-20 22:49:00,2023-01-20 22:55:32.117259654,1.0,1.85,240,14,1,10.53,1.45,11.98
2,2023-01-03 07:05:00,2023-01-03 07:15:45.374647194,1.0,2.94,108,103,1,15.54,2.07,17.61
2,2023-01-14 16:25:00,2023-01-14 16:37:41.280916026,1.0,3.49,76,85,1,18.12,1.17,19.29
1,2023-01-19 20:08:00,2023-01-19 20:13:29.025608496,1.0,1.73,128,25,1,9.21,1.13,10.34
2,2023-01-05 16:41:00,2023-01-05 16:48:01.347539076,1.0,2.41,127,192,4,13.37,0.0,13.37
2,2023-01-20 06:48:00,2023-01-20 06:54:49.809668034,2.0,2.19,128,44,2,11.4,0.0,11.4
1,2023-01-15 18:44:00,2023-01-15 18:56:17.372656356,2.0,2.94,170,152,1,13.09,2.09,15.18
1,2023-01-04 21:10:00,2023-01-04 21:13:56.396675346,1.0,0.93,52,230,1,4.99,0.29,5.28
1,2023-01-06 13:02:00,2023-01-06 13:04:16.005688098,6.0,0.89,30,64,1,5.85,0.51,6.36
2,2023-01-06 09:51:00,2023-01-06 10:06:13.893886728,1.0,4.94,234,199,1,23.04,1.87,24.91
2,2023-01-30 09:16:00,2023-01-30 09:24:23.689446516,1.0,2.58,202,187,1,10.43,1.9,12.33
2,2023-01-29 06:52:00,2023-01-29 07:01:00.757970298,3.0,2.1,158,229,1,13.76,1.47,15.23
1,2023-01-08 16:30:00,2023-01-08 16:37:43.261171176,1.0,2.41,26,239,2,12.32,0.0,12.32
2,2023-01-28 14:26:00,2023-01-28 14:31:32.610295338,2.0,1.49,1,22,1,6.69,0.92,7.61
1,2023-01-22 06:01:00,2023-01-22 06:16:23.569150938,1.0,3.9,132,241,1,19.07,4.07,23.14
2,2023-01-01 07:53:00,2023-01-01 08:02:28.368150216,1.0,3.04,10,109,1,18.75,2.02,20.77
2,2023-01-31 12:51:00,2023-01-31 13:04:03.864919266,1.0,3.31,21,239,1,19.25,2.55,21.8
1,2023-01-12 18:49:00,2023-01-12 19:07:48.803772918,1.0,4.61,77,60,1,22.18,2.88,25.06
2,2023-01-17 19:54:00,2023-01-17 20:00:34.152886337,2.0,1.75,93,18,1,10.7,1.14,11.84
2,2023-01-31 09:41:00,2023-01-31 10:11:11.259104784,1.0,10.41,257,228,2,42.75,0.0,42.75
1,2023-01-02 07:42:00,2023-01-02 07:49:54.805437588,1.0,2.41,123,47,2,13.45,0.0,13.45
1,2023-01-18 06:13:00,2023-01-18 06:18:30.664629840,1.0,1.25,69,214,1,7.24,0.66,7.9
1,2023-01-26 20:08:00,2023-01-26 20:12:42.253366548,6.0,1.24,129,16,1,10.25,1.64,11.89
2,2023-01-02 09:01:00,2023-01-02 09:04:57.427570932,2.0,1.48,127,54,1,9.62,0.76,10.38
2,2023-01-22 07:52:00,2023-01-22 07:54:16.921970748,1.0,0.83,218,19,1,5.41,0.57,5.98
1,2023-01-06 21:30:00,2023-01-06 21:40:51.178445856,1.0,2.52,115,262,2,14.33,0.0,14.33
1,2023-01-29 19:17:00,2023-01-29 19:24:14.504911806,1.0,1.93,202,233,1,11.77,1.73,13.5
2,2023-01-05 17:56:00,2023-01-05 18:10:44.492124654,1.0,4.64,163,197,2,18.94,0.0,18.94
1,2023-01-08 10:23:00,2023-01-08 10:31:06.590041116,1.0,2.08,15,254,2,13.32,0.0,13.32
2,2023-01-02 15:09:00,2023-01-02 15:52:16.828266683,4.0,13.76,24,237,2,55.83,0.0,55.83
2,2023-01-25 08:23:00,2023-01-25 08:33:38.420661966,1.0,3.86,59,83,1,16.61,1.65,18.26
1,2023-01-08 16:54:00,2023-01-08 17:02:10.203269910,4.0,2.03,262,263,4,13.92,0.0,13.92
2,2023-01-19 21:57:00,2023-01-19 22:09:02.936568282,1.0,2.82,252,115,1,16.32,0.61,16.93
1,2023-01-17 16:37:00,2023-01-17 17:00:11.356777824,2.0,5.29,52,246,1,25.27,5.07,30.34
1,2023-01-23 23:41:00,2023-01-23 23:51:22.979207514,1.0,3.37,215,131,1,17.4,2.7,20.1
1,2023-01-29 19:10:00,2023-01-29 19:19:12.709564758,1.0,2.89,208,5,2,15.25,0.0,15.25
1,2023-01-30 07:29:00,2023-01-30 07:47:19.228124016,,4.3,152,203,1,22.07,1.77,23.84
2,2023-01-31 06:26:00,2023-01-31 06:31:27.178940754,1.0,1.31,109,105,2,5.13,0.0,5.13
1,2023-01-17 16:49:00,2023-01-17 16:56:39.687174816,1.0,1.78,1,241,2,8.86,0.0,8.86
2,2023-01-16 09:49:00,2023-01-16 10:38:28.844240250,2.0,11.97,225,76,1,56.85,6.09,62.94
2,2023-01-16 21:38:00,2023-01-16 21:53:35.687778576,1.0,3.84,206,90,1,19.24,2.28,21.52
1,2023-01-28 20:07:00,2023-01-28 20:17:38.815965528,1.0,3.0,208,132,1,15.59,2.1,17.69
2,2023-01-09 12:30:00,2023-01-09 12:57:11.629068780,2.0,6.61,87,50,1,31.43,3.89,35.32
2,2023-01-16 14:41:00,2023-01-16 14:50:54.794688498,2.0,3.66,121,226,1,15.25,0.7,15.95
2,2023-01-03 09:06:00,2023-01-03 09:18:01.444623090,1.0,2.73,127,36,1,12.48,1.2,13.68
2,2023-01-19 14:50:00,2023-01-19 14:53:09.076328934,1.0,1.02,43,97,2,6.09,0.0,6.09
2,2023-01-16 22:22:00,2023-01-16 22:32:29.833229886,1.0,2.67,170,164,2,13.94,0.0,13.94
2,2023-01-21 22:13:00,2023-01-21 22:17:22.208805576,1.0,1.02,263,263,1,9.7,1.6,11.3
2,2023-01-04 23:10:00,2023-01-04 23:16:00.219235182,1.0,2.35,36,96,2,11.82,0.0,11.82
2,2023-01-14 07:18:00,2023-01-14 07:26:01.882344821,1.0,2.0,145,123,1,11.93,1.32,13.25
2,2023-01-03 19:15:00,2023-01-03 19:23:53.277282582,5.0,2.22,162,27,1,13.4,2.13,15.53
1,2023-01-18 06:13:00,2023-01-18 06:24:29.293515990,1.0,3.03,220,233,1,14.21,1.46,15.67
2,2023-01-09 19:15:00,2023-01-09 19:20:59.737131918,2.0,2.22,203,145,1,9.08,0.59,9.67
2,2023-01-23 20:56:00,2023-01-23 21:03:38.797626906,1.0,2.16,96,208,1,15.36,1.37,16.73
1,2023-01-28 12:16:00,2023-01-28 12:22:53.473974924,2.0,2.68,135,109,2,10.49,0.0,10.49
2,2023-01-31 09:38:00,2023-01-31 09:44:18.890845014,1.0,2.05,123,217,1,9.92,1.48,11.4
1,2023-01-14 19:31:00,2023-01-14 19:48:08.986212840,2.0,4.27,64,241,2,17.97,0.0,17.97
1,2023-01-23 16:22:00,2023-01-23 16:33:04.193921046,2.0,2.57,225,125,1,12.03,1.51,13.54
1,2023-01-15 16:43:00,2023-01-15 16:54:44.609680074,1.0,3.9,249,92,2,17.2,0.0,17.2
1,2023-01-14 12:47:00,2023-01-14 12:49:42.037654770,5.0,1.01,16,122,2,6.73,0.0,6.73
2,2023-01-27 06:46:00,2023-01-27 06:58:39.140919210,3.0,3.1,195,78,2,15.44,0.0,15.44
1,2023-01-05 20:06:00,2023-01-05 20:11:17.477949648,1.0,1.99,146,31,1,6.48,0.3,6.78
2,2023-01-22 11:59:00,2023-01-22 12:19:12.670453452,1.0,4.81,194,110,1,22.18,2.84,25.02
1,2023-01-25 14:39:00,2023-01-25 14:46:52.714295838,1.0,2.73,249,104,1,13.21,2.29,15.5
2,2023-01-17 09:09:00,2023-01-17 09:25:36.447796218,1.0,6.26,126,263,1,27.52,5.91,33.43
2,2023-01-05 10:51:00,2023-01-05 10:58:20.268975162,2.0,1.84,20,202,1,9.09,0.69,9.78
2,2023-01-07 22:11:00,2023-01-07 22:16:02.961701208,1.0,1.36,253,210,2,7.39,0.0,7.39
1,2023-01-23 17:51:00,2023-01-23 18:13:33.270473538,1.0,5.06,63,172,1,23.99,3.49,27.48
1,2023-01-14 09:44:00,2023-01-14 09:49:16.694996238,,1.58,152,182,3,6.83,0.0,6.83
1,2023-01-14 14:05:00,2023-01-14 14:11:12.211268094,1.0,2.35,213,134,1,12.11,1.18,13.29
2,2023-01-08 07:28:00,2023-01-08 07:34:36.014825346,1.0,2.64,255,166,1,14.23,2.3,16.53
1,2023-01-08 18:13:00,2023-01-08 18:23:54.272193780,1.0,2.7,253,220,1,13.73,1.7,15.43
2,2023-01-24 20:43:00,2023-01-24 20:46:21.087400584,1.0,0.95,6,202,1,7.79,1.37,9.16
2,2023-01-27 15:35:00,2023-01-27 15:40:07.025186850,3.0,1.63,232,205,1,13.39,1.39,14.78
1,2023-01-31 10:58:00,2023-01-31 11:22:13.771626120,1.0,5.51,236,20,2,28.67,0.0,28.67
2,2023-01-17 13:03:00,2023-01-17 13:08:38.813416170,1.0,1.7,107,125,1,11.4,1.08,12.48
1,2023-01-21 02:04:00,2023-01-21 02:11:07.066499184,4.0,1.85,190,180,2,10.62,0.0,10.62
2,2023-01-08 00:59:00,2023-01-08 01:00:34.694477340,1.0,0.58,121,206,2,6.45,0.0,6.45
2,2023-01-08 20:43:00,2023-01-08 20:47:46.571703222,6.0,1.83,6,218,1,11.8,0.91,12.71
2,2023-01-03 22:25:00,2023-01-03 22:33:52.997267844,1.0,3.17,41,264,1,15.98,2.37,18.35
1,2023-01-09 21:27:00,2023-01-09 21:38:21.855299358,1.0,2.99,227,162,1,14.88,1.9,16.78
1,2023-01-07 15:24:00,2023-01-07 15:33:15.966999743,6.0,2.21,70,212,1,12.29,1.82,14.11
1,2023-01-03 08:02:00,2023-01-03 08:19:39.660753324,1.0,4.73,110,200,1,22.61,3.01,25.62
1,2023-01-03 09:58:00,2023-01-03 10:00:00.042921954,1.0,0.75,61,223,2,4.13,0.0,4.13
2,2023-01-31 09:33:00,2023-01-31 09:40:24.206294904,5.0,2.7,136,20,2,12.63,0.0,12.63
2,2023-01-27 11:37:00,2023-01-27 11:41:36.520143348,1.0,1.32,161,37,2,10.26,0.0,10.26
